fecha,tipo,subtipo,subtipo_normalizado,ciudad,calle,lat,lon
2025-04-30 19:23:49,Peligro,HAZARD_ON_ROAD_POT_HOLE,Hueco,Ñuñoa,Av. Tobalaba,-33.435876,-70.579084
2025-04-30 19:20:24,Tráfico,,Otro,La Reina,Monseñor Edwards,-33.436753,-70.560846
2025-04-30 19:24:52,Policía,,Otro,Las Condes,Cerro Colorado,-33.402988,-70.577274
2025-04-30 19:23:08,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Peñalolén,Av. Américo Vespucio,-33.471052,-70.576526
2025-04-30 19:23:30,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Peñalolén,Av. Américo Vespucio,-33.4715,-70.576621
2025-04-30 19:21:53,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Vitacura,Av. Alonso de Córdova,-33.403522,-70.587825
2025-04-30 19:21:47,Tráfico,,Otro,Ñuñoa,Av. José Pedro Alessandri,-33.46862,-70.598578
2025-04-30 19:23:37,Peligro,HAZARD_ON_ROAD_OBJECT,Otro,La Florida,Av. La Florida lateral,-33.522532,-70.578977
2025-04-30 19:25:24,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Peñalolén,Av. Quilín,-33.500321,-70.550661
2025-04-30 19:21:48,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Las Condes,Av. Padre Hurtado Norte,-33.39253,-70.546774
2025-04-30 19:19:51,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Ñuñoa,Av. Ossa,-33.439276,-70.573227
2025-04-30 19:25:01,Peligro,HAZARD_ON_ROAD,Otro,Providencia,Av. Pedro de Valdivia,-33.443311,-70.606515
2025-04-30 19:20:05,Tráfico,,Otro,Ñuñoa,Av. José Pedro Alessandri,-33.463749,-70.5983
2025-04-30 19:20:49,Policía,,Otro,Puente Alto,Valcarlos Interior,-33.566415,-70.561242
2025-04-30 19:24:59,Policía,,Otro,Ñuñoa,Av. Pedro de Valdivia,-33.473919,-70.606329
